sts,device_fk,latitude,longitude,time_stamp,speed
2021-10-23T12:30:54.661214+00:00,6888,19.73914337158203,76.18148040771484,2021-10-23T12:30:05+00:00,9
2021-10-23T12:30:54.661736+00:00,6888,19.73906898498535,76.18157196044922,2021-10-23T12:30:49+00:00,4
2021-10-23T12:30:54.663298+00:00,6888,19.73918914794922,76.18138122558594,2021-10-23T12:30:13+00:00,4
2021-10-23T12:30:54.664790+00:00,6888,19.73921585083008,76.18128967285156,2021-10-23T12:30:21+00:00,4
2021-10-23T12:30:57.168476+00:00,6888,19.739126205444336,76.18150329589844,2021-10-23T12:30:03+00:00,4
2021-10-23T12:30:57.168638+00:00,6888,19.73908042907715,76.18162536621094,2021-10-23T12:29:53+00:00,4
2021-10-23T12:30:57.169065+00:00,6888,19.739103317260746,76.18155670166016,2021-10-23T12:29:59+00:00,5
2021-10-23T12:30:57.175680+00:00,6888,19.73908233642578,76.18161010742188,2021-10-23T12:29:55+00:00,4
2021-10-23T12:30:57.184153+00:00,6888,19.739038467407227,76.18173217773438,2021-10-23T12:29:43+00:00,4
2021-10-23T12:30:57.184308+00:00,6888,19.739063262939453,76.1816635131836,2021-10-23T12:29:49+00:00,4
2021-10-23T12:30:57.184534+00:00,6888,19.73905563354492,76.18168640136719,2021-10-23T12:29:47+00:00,5
2021-10-23T12:30:57.184637+00:00,6888,19.73905563354492,76.18161010742188,2021-10-23T12:30:53+00:00,0
2021-10-23T12:30:57.184730+00:00,6888,19.739072799682617,76.18164825439453,2021-10-23T12:29:51+00:00,4
2021-10-23T12:30:57.184821+00:00,6888,19.739089965820312,76.18157958984375,2021-10-23T12:29:57+00:00,4
2021-10-23T12:30:57.184912+00:00,6888,19.73904609680176,76.18170928955078,2021-10-23T12:29:45+00:00,4
2021-10-23T12:30:57.185109+00:00,6888,19.73911476135254,76.18152618408203,2021-10-23T12:30:01+00:00,4
2021-10-23T12:30:58.481046+00:00,25029,27.88554000854492,76.26492309570312,2021-10-23T12:30:55+00:00,29
2021-10-23T12:30:58.481878+00:00,25029,27.88555145263672,76.26509094238281,2021-10-23T12:30:53+00:00,30
2021-10-23T12:30:58.485563+00:00,25029,27.88555908203125,76.2652587890625,2021-10-23T12:30:51+00:00,26
2021-10-23T12:31:04.580531+00:00,25029,27.88548851013184,76.2644271850586,2021-10-23T12:31:01+00:00,32
2021-10-23T12:31:04.588565+00:00,25029,27.88550567626953,76.26460266113281,2021-10-23T12:30:59+00:00,29
2021-10-23T12:31:04.589031+00:00,25029,27.88552474975586,76.26476287841797,2021-10-23T12:30:57+00:00,29
2021-10-23T12:31:10.500593+00:00,25029,27.88541030883789,76.26387023925781,2021-10-23T12:31:07+00:00,33
2021-10-23T12:31:10.500685+00:00,25029,27.88546371459961,76.26424407958984,2021-10-23T12:31:03+00:00,33
2021-10-23T12:31:10.503079+00:00,25029,27.88543701171875,76.2640609741211,2021-10-23T12:31:05+00:00,34
2021-10-23T12:31:11.165340+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:48+00:00,0
2021-10-23T12:31:11.175900+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:52+00:00,0
2021-10-23T12:31:11.176140+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:56+00:00,0
2021-10-23T12:31:11.176327+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:31:04+00:00,0
2021-10-23T12:31:11.176418+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:31:00+00:00,0
2021-10-23T12:31:11.176808+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:46+00:00,0
2021-10-23T12:31:11.177532+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:31:02+00:00,0
2021-10-23T12:31:11.177625+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:58+00:00,0
2021-10-23T12:31:11.178658+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:31:06+00:00,0
2021-10-23T12:31:11.179065+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:31:08+00:00,0
2021-10-23T12:31:11.179160+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:54+00:00,0
2021-10-23T12:31:11.179921+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:50+00:00,0
2021-10-23T12:31:16.278005+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:44+00:00,0
2021-10-23T12:31:16.278866+00:00,24809,19.022464752197266,77.7537841796875,2021-10-23T08:41:49+00:00,0
2021-10-23T12:31:16.279016+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:31:10+00:00,0
2021-10-23T12:31:16.279724+00:00,24809,19.022464752197266,77.7537841796875,2021-10-23T08:41:51+00:00,0
2021-10-23T12:31:16.279817+00:00,24809,19.022464752197266,77.7537841796875,2021-10-23T08:41:41+00:00,0
2021-10-23T12:31:16.279911+00:00,24809,18.98970603942871,77.75823211669922,2021-10-23T12:30:42+00:00,0
2021-10-23T12:31:16.280285+00:00,24809,19.022464752197266,77.7537841796875,2021-10-23T08:41:47+00:00,0
